Collection ID,Form ID,State,Year,Serial_agar_dilution for creating the model  (N= 20),Field,County,hyphal_tip (ht),DNA Extraction,Location of field,Size of field (acres),Percentage Affected,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Products,Timing,Pre-2015 Fungicides,Number of Years,Products: Soybean,Timing: Soybean,Notes,Apparently low sensitiviy
,Sc15-10-07,NE,2015,No,Survey,Madison,No,No,"41.959530N, 97.762956 W",80-160,60,N,,Y,N,Y,T-Methyl,,N,,,,AG2431 Croplan 2501,
,Sc15-10-08,NE,2015,No,Survey,Madison,No,No,"41.959530N, 97.762956 W",80-160,60,N,,Y,N,Y,T-Methyl,,N,,,,AG2431 Croplan 2501,
,Sc15-10-09,NE,2015,No,Survey,Madison,No,No,"41.959530N, 97.762956 W",80-160,60,N,,Y,N,Y,T-Methyl,,N,,,,AG2431 Croplan 2501,
,Sc15-10-10,NE,2015,No,Survey,Madison,No,No,"41.959530N, 97.762956 W",80-160,60,N,,Y,N,Y,T-Methyl,,N,,,,AG2431 Croplan 2501,
,Sc15-11-06,NE,2015,No,Survey,Madison,No,No,"41.795080 N, 97.723991 W",<80,30,N,,N,N,Y,T-Methyl,,Y,1,Priaxor,,Croplan 2501,boscalid
,Sc15-11-07,NE,2015,No,Survey,Madison,No,No,"41.795080 N, 97.723991 W",<80,30,N,,N,N,Y,T-Methyl,,Y,1,Priaxor,,Croplan 2501,boscalid
,Sc15-11-08,NE,2015,No,Survey,Madison,No,No,"41.795080 N, 97.723991 W",<80,30,N,,N,N,Y,T-Methyl,,Y,1,Priaxor,,Croplan 2501,boscalid
,Sc15-11-09,NE,2015,No,Survey,Madison,No,No,"41.795080 N, 97.723991 W",<80,30,N,,N,N,Y,T-Methyl,,Y,1,Priaxor,,Croplan 2501,boscalid
,Sc15-11-10,NE,2015,No,Survey,Madison,No,No,"41.795080 N, 97.723991 W",<80,30,N,,N,N,Y,T-Methyl,,Y,1,Priaxor,,Croplan 2501,boscalid
,Sc15-18-01,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-02,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-03,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-04,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-05,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-06,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-07,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-08,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-09,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-18-10,NE,2015,No,Survey,Boone,No,No,"41.8830333 N, 8.093961W",80-160,10,N,,Y,N,Y,Priaxor,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-19-01,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-02,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-03,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-04,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-05,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-06,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-07,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-08,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-09,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-19-10,NE,2015,No,Survey,Boone,No,No,"41.8757556 N, 98.089080W",80-160,10,N,,Y,N,N,Viathon,R4-R5,Y,2,(2014) Priaxor,R4,,
,Sc15-20-01,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-02,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-03,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-04,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-05,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-06,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-07,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-08,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-09,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-20-10,NE,2015,No,Survey,Boone,No,No,"41.8615472N, 97.9056416W",80-160,50,N,,Y,N,N,Viathon,R4,Y,2,(2013) Priaxor,R4,,
,Sc15-21-06,NE,2015,No,Survey,Antelope,No,No,"41.973491N,97.944825 W",80-160,10,Y,3,Y,N,Y,Priaxor,42213,Y,4,Priaxor or Headline,42213,Pioneer 92Y83,Picoxystrobin
,Sc15-21-07,NE,2015,No,Survey,Antelope,No,No,"41.973491N,97.944825W",80-160,10,Y,3,Y,N,Y,Priaxor,42213,Y,4,Priaxor or Headline,42213,Pioneer 92Y83,Picoxystrobin
,Sc15-21-08,NE,2015,No,Survey,Antelope,No,No,"41.973491N,97.944825 W",80-160,10,Y,3,Y,N,Y,Priaxor,42213,Y,4,Priaxor or Headline,42213,Pioneer 92Y83,Picoxystrobin
,Sc15-21-09,NE,2015,No,Survey,Antelope,No,No,"41.973491 N, 97.944825 W",80-160,10,Y,3,Y,N,Y,Priaxor,42213,Y,4,Priaxor or Headline,42213,Pioneer 92Y83,Picoxystrobin
,Sc15-21-10,NE,2015,No,Survey,Antelope,No,No,"41.973491 N, 97.944825 W",80-160,10,Y,3,Y,N,Y,Priaxor,42213,Y,4,Priaxor or Headline,42213,Pioneer 92Y83,Picoxystrobin
,Sc15-22-06,NE,2015,No,Survey,Antelope,No,No,"41.974958 N , 98.099471 W",80-160,30,Y,2,N,,,,,Y,1,Headline 6 oz.,,Channel 2402,
,Sc15-22-07,NE,2015,No,Survey,Antelope,No,No,"41.974958 N , 98.099471 W",80-160,30,Y,2,N,,,,,Y,1,Headline 6 oz.,,Channel 2402,
,Sc15-22-08,NE,2015,No,Survey,Antelope,No,No,"41.974958 N , 98.099471 W",80-160,30,Y,2,N,,,,,Y,1,Headline 6 oz.,,Channel 2402,
,Sc15-22-09,NE,2015,No,Survey,Antelope,No,No,"41.974958 N , 98.099471 W",80-160,30,Y,2,N,,,,,Y,1,Headline 6 oz.,,Channel 2402,
,Sc15-22-10,NE,2015,No,Survey,Antelope,No,No,"41.974958 N , 98.099471 W",80-160,30,Y,2,N,,,,,Y,1,Headline 6 oz.,,Channel 2402,
,Sc15-23-05,NE,2015,No,Survey,Antelope,No,No,"41.970166 N, 98.110377 W",80-160,70,N,,N,,,,,,,,,Producers 2500,TM
,Sc15-23-06,NE,2015,No,Survey,Antelope,No,No,"41.970166 N, 98.110377 W",80-160,70,N,,N,,,,,,,,,Producers 2500,TM
,Sc15-23-07,NE,2015,No,Survey,Antelope,No,No,"41.970166 N, 98.110377 W",80-160,70,N,,N,,,,,,,,,Producers 2500,TM
,Sc15-23-08,NE,2015,No,Survey,Antelope,No,No,"41.970166 N, 98.110377 W",80-160,70,N,,N,,,,,,,,,Producers 2500,TM
,Sc15-23-09,NE,2015,No,Survey,Antelope,No,No,"41.970166 N, 98.110377 W",80-160,70,N,,N,,,,,,,,,Producers 2500,TM
,Sc15-23-10,NE,2015,No,Survey,Antelope,No,No,"41.970166 N, 98.110377 W",80-160,70,N,,N,,,,,,,,,Producers 2500,
,Sc15-24-06,NE,2015,No,Survey,Antelope,No,No,"42.070718N,98.238684W",80-160,15,Y,2,Y,Y,Y,Priaxor,42213,N,,,,Asgrow 3034,
,Sc15-24-07,NE,2015,No,Survey,Antelope,No,No,"42.070718N,98.238684W",80-160,15,Y,2,Y,Y,Y,Priaxor,42213,N,,,,Asgrow 3034,
,Sc15-24-08,NE,2015,No,Survey,Antelope,No,No,"42.070718N,98.238684W",80-160,15,Y,2,Y,Y,Y,Priaxor,42213,N,,,,Asgrow 3034,
,Sc15-24-09,NE,2015,No,Survey,Antelope,No,No,"42.070718N,98.238684W",80-160,15,Y,2,Y,Y,Y,Priaxor,42213,N,,,,Asgrow 3034,
,Sc15-24-10,NE,2015,No,Survey,Antelope,No,No,"42.070718N,98.238684W",80-160,15,Y,2,Y,Y,Y,Priaxor,42213,N,,,,Asgrow 3034,
,Sc15-25-06,NE,2015,No,Survey,Antelope,No,No,"42.120722 N, 98.025694 W",160-320,60,Y,7,Y,N,Y,Priaxor with Roundup,R1-R2,Y,4,Headline,R2-R3,Croplan 2440,
,Sc15-25-07,NE,2015,No,Survey,Antelope,No,No,"42.120722 N, 98.025694 W",160-320,60,Y,7,Y,N,Y,Priaxor with Roundup,R1-R2,Y,4,Headline,R2-R3,Croplan 2440,
,Sc15-25-08,NE,2015,No,Survey,Antelope,No,No,"42.120722 N, 98.025694 W",160-320,60,Y,7,Y,N,Y,Priaxor with Roundup,R1-R2,Y,4,Headline,R2-R3,Croplan 2440,
,Sc15-25-09,NE,2015,No,Survey,Antelope,No,No,"42.120722 N, 98.025694 W",160-320,60,Y,7,Y,N,Y,Priaxor with Roundup,R1-R2,Y,4,Headline,R2-R3,Croplan 2440,
,Sc15-25-10,NE,2015,No,Survey,Antelope,No,No,"42.120722 N, 98.025694 W",160-320,60,Y,7,Y,N,Y,Priaxor with Roundup,R1-R2,Y,4,Headline,R2-R3,Croplan 2440,
,Sc15-30-01,NE,2015,No,Survey,Hamilton,No,No,"41.000329N, 98.009545 W",80-160,<1,N,,N,N,N,,,N,,,,,
,Sc15-34-01,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-02,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-03,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-04,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-05,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-06,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-07,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-08,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-09,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-34-10,NE,2015,No,Survey,Dodge,No,No,"41.751242 N, 96.642922 W",<80,70,Y,8,Y,N,Y,Domark,42217,N,,,,,
,Sc15-35-01,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-02,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-03,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-04,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-05,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-06,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-07,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-08,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-09,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-35-10,NE,2015,No,Survey,Dodge,No,No,"41.765861 N, 96.626387 W",<80,10,N,,N,N,N,,,N,,,,,Picoxystrobin
,Sc15-45-01,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-02,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-03,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-04,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-05,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-06,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-07,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-08,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-09,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-45-10,NE,2015,No,Survey,Boone,No,No,"41.8687889N, 97.88607W",<80,5-10,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-01,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-02,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-03,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-04,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-05,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-06,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-07,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-08,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-09,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-46-10,NE,2015,No,Survey,Boone,No,No,"41.8690083N, 97.89613W",80-160,10-15,N,,Y,N,N,Viathon,R3,Y,2,(2013) Priaxor,R3,,
,Sc15-47-01,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-02,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-03,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-04,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-05,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-06,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-07,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-08,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-09,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-47-10,NE,2015,No,Survey,Holt,No,No,"42.162042N, 98.324697W",160 quarter section,20,N,,N,N,N,,,N,,,,,
,Sc15-48-01,NE,2015,No,Survey,Boone,No,No,"41.8685306N, 98.0606027W",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-02,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-03,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-04,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-05,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-06,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-07,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-08,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-09,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-48-10,NE,2015,No,Survey,Boone,No,No,"41°52'6.71, 98°3'38.17",<80,25,N,,Y,N,N,Viathon,R2,Y,2,(2013) ?,R2,,
,Sc15-60-01,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-02,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-03,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-04,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-05,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-06,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-07,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-08,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
,Sc15-60-09,NE,2015,No,Survey,Sherman,No,No,"41.375732N, 99.012641W",<80,20,N,,N,N,N,,,N,,,,,
