Collection_ID,Field,Form ID,State,Year,Serial_agar_dilution_for_creating_the_model_ (N=20),Origin,County,hyphal_tip (ht),DNA Extraction,lat,long,Size of field (acres),Percentage Affected ,History,Number of Years,Fungicide This Year,Chemigation,Applied for White Mold,Products,Timing,Pre-2015 Fungicides,Number of Years,Products_Soybean,Timing: Soybean,Notes,Apparently low sensitiviy,
1038,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #3 10-21-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1039,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #4 10-24-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1040,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #5 10-24-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1041,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua  Sample #6 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1042,flo,,IA,2016,No,trial,Floyd,No,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #7 10-24-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1043,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #8 10-24-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1044,flo,,IA,2016,No,trial,Floyd,No,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #11 10-24-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1045,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua  Sample #10  (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1046,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,"Nashua Treatment #3 Sample #9 10-24-16 (ILEVO-fluopyram, seedtreatment)",,,,,,,,,,,,,
1047,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #11 10-21-16 (see special notes),,,,,,,,,,,,,
1050,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #8 10-21-16 (see special notes),,,,,,,,,,,,,
1051,flo,,IA,2016,No,trial,Floyd,No,No,42.931478,92.57487,,,Nashua untreated Sample #7 10-21-16 (see special notes),,,,,,,,,,,,,
1052,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #6 10-21-16 (see special notes),,,,,,,,,,,,,
1053,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #5 10-21-16 (see special notes),,,,,,,,,,,,,
1054,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #4 10-21-16 (see special notes),,,,,,,,,,,,,
1055,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #3 10-21-16 (see special notes),,,,,,,,,,,,,
1056,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #2 10-21-16 (see special notes),,,,,,,,,,,,,
1057,flo,,IA,2016,No,trial,Floyd,Yes,No,42.931478,92.57487,,,Nashua untreated Sample #1 10-21-16 (see special notes),,,,,,,,,,,,,
1058,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,,"Fungicide treatment plots  Topsin-3 Plant 8 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1059,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,,"Fungicide treatment plots Topsin-3 Plant 9 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1060,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Topsin-4 Plant 1 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1061,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Topsin-4 Plant 2 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1062,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-4 Plant 3 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1063,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-4 Plant 4 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1064,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-4 Plant 5 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1065,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Topsin-4 Plant 6 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1066,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-4 Plant 7 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1067,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-4 Plant 8 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1068,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-4 Plant 9 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1069,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Topsin-5 Plant 1 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1070,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 2 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1071,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,,"Fungicide treatment plots Topsin-5 Plant 3 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1072,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 4 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1073,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 5 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1074,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 6 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1075,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 7 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1076,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 8 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1077,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-5 Plant 9 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1078,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-1 Plant 1 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1079,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 1 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1080,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 2 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1081,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Endura-2 Plant 3 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1082,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 4 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1083,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 5 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1084,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Endura-2 Plant 6 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1085,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 7 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1086,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 8 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1087,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-2 Plant 9 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1088,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-3 Plant 1 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1089,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-3 Plant 2 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1090,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-3 Plant 3 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1091,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-3 Plant 4 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1092,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-3 Plant 5 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1093,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-3 Plant 6 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1094,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Endura-4 Plant 1 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1095,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Endura-4 Plant 2 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1096,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 3 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1097,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 4 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1098,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 5 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1099,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 6 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1100,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 7 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1101,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 8 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1102,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 9 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1103,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-4 Plant 10 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1104,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-5 Plant 1 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1105,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-5 Plant 2 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1106,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Endura-5 Plant 3 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1107,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-5 Plant 4 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1108,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,,"Fungicide treatment plots Endura-5 Plant 5 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1109,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-5 Plant 6 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1110,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Endura-5 Plant 7 (highest rates and two applications, 11 oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1111,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-1 Plant 1 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1112,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-1 Plant 2 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1113,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-1 Plant 3 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1114,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 1 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1115,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 2 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1116,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 3 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1117,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 4 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1118,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 5 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1119,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 6 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1120,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 7 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1121,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-2 Plant 8 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1122,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant1 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1123,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant2 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1124,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant3 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1125,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant4 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1126,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant5 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1127,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant6 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1128,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Topsin-3 Plant7 (highest rates and two applications, 4.5 fl oz/A at R1 and R2)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1129,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 1 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1130,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 2 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1131,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 3 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1132,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 4 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1133,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 5 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1134,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 6 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1135,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 7 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1136,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 8 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1137,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-1 Plant 9 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1138,lan,,MI,2016,No,trial,East Lansing,Yes,No,42.722078,84.472741,,," Fungicide treatment plots Approach-2 Plant 1 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1139,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-2 Plant 2 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1140,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-2 Plant 3 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1141,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-2 Plant 4 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
1142,lan,,MI,2016,No,trial,East Lansing,No,No,42.722078,84.472741,,," Fungicide treatment plots Approach-2 Plant 5 (highest rates and two applications, 9 fl oz/A at R1 and R3)",,,,,,,,,,,Using GPS coordinates of Department of plant sciences meanwhile,,
